path,lossy,source,content_type,frame_reduction_class,ssim_control,ssim_cell,comp_control,comp_cell,d_ssim,d_comp,divergence_score,flag
/tmp/giflab_divergence_synth/gradient_xlarge.gif,60,synthetic,gradient,none,1.0,0.9252867873670476,1.0,0.715980150155599,-0.07471321263295239,-0.284019849844401,0.2093066372114486,
/tmp/giflab_divergence_synth/gradient_large.gif,60,synthetic,gradient,none,1.0,0.8785861603093341,1.0,0.678859403763399,-0.12141383969066588,-0.32114059623660096,0.19972675654593508,
/tmp/giflab_divergence_synth/gradient_large.gif,40,synthetic,gradient,none,1.0,0.9358453605876628,1.0,0.746143909754216,-0.06415463941233723,-0.25385609024578404,0.1897014508334468,
/Users/lachlants/Documents/GIFs/Email/https___mcusercontent.com_cdfc29de68ae93588ec6b0a8f_images_e926f7a2-b679-1f8b-c3ba-612a32744fd5.gif,20,real,,none,1.0,0.9365923132319532,1.0,0.7496057720506686,-0.06340768676804676,-0.2503942279493314,0.18698654118128466,
/Users/lachlants/Documents/GIFs/Email/https___mcusercontent.com_9284751802d775d29b8491886_images_99ac6bb0-5087-c5c1-c9b0-3d27c332ad28.gif,60,real,,dedup,1.0,0.9683469403005318,1.0,0.7845363776187775,-0.03165305969946819,-0.21546362238122252,0.18381056268175433,
/tmp/giflab_divergence_synth/gradient_xlarge.gif,40,synthetic,gradient,none,1.0,0.9640921396773492,1.0,0.7848140460255286,-0.03590786032265081,-0.21518595397447138,0.17927809365182057,
/Users/lachlants/Documents/GIFs/Email/https___mcusercontent.com_9284751802d775d29b8491886_images_99ac6bb0-5087-c5c1-c9b0-3d27c332ad28.gif,40,real,,dedup,1.0,0.9754415975932018,1.0,0.796588385854519,-0.024558402406798185,-0.20341161414548103,0.17885321173868285,
/Users/lachlants/Documents/GIFs/Email/https___gstatic.com_growthlab_api_XpkfMAWfUsWgNNUjSs9rFrQEh4lGNfiFD4VIkoTD.gif,60,real,,dedup,1.0,0.9483924681309416,1.0,0.7738982886512924,-0.05160753186905842,-0.2261017113487076,0.17449417947964918,
/Users/lachlants/Documents/GIFs/Email/unnamed copy 10.gif,40,real,,none,1.0,0.8626736481204775,1.0,0.6899331964128705,-0.13732635187952247,-0.31006680358712946,0.172740451707607,
/Users/lachlants/Documents/GIFs/Email/https___gstatic.com_growthlab_api_XpkfMAWfUsWgNNUjSs9rFrQEh4lGNfiFD4VIkoTD.gif,40,real,,dedup,1.0,0.9525790904568068,1.0,0.7809988717760239,-0.047420909543193224,-0.2190011282239761,0.17158021868078288,
/Users/lachlants/Documents/GIFs/Email/unnamed copy 10.gif,20,real,,none,1.0,0.9420726882338089,1.0,0.772458846656313,-0.05792731176619115,-0.22754115334368696,0.16961384157749582,
/Users/lachlants/Documents/GIFs/Email/https___mcusercontent.com_cdfc29de68ae93588ec6b0a8f_images_e926f7a2-b679-1f8b-c3ba-612a32744fd5.gif,40,real,,none,1.0,0.8425737443621584,1.0,0.6738319517164159,-0.15742625563784163,-0.32616804828358414,0.16874179264574252,
/Users/lachlants/Documents/GIFs/Email/https___gstatic.com_growthlab_api_XpkfMAWfUsWgNNUjSs9rFrQEh4lGNfiFD4VIkoTD.gif,20,real,,dedup,1.0,0.9565778967063736,1.0,0.7921790335594652,-0.04342210329362639,-0.20782096644053483,0.16439886314690844,
/tmp/giflab_divergence_synth/gradient_medium.gif,40,synthetic,gradient,none,1.0,0.8977350486332216,1.0,0.7334653614206037,-0.10226495136677838,-0.2665346385793963,0.16426968721261792,
/Users/lachlants/Documents/GIFs/Email/https___mcusercontent.com_f85fe69f37a041b9d3dcd09f9_images_66157541-b899-8e00-4315-ab5e9e8d1c7e.gif,60,real,,none,1.0,0.95734549323491,1.0,0.7983952485309156,-0.04265450676508997,-0.2016047514690844,0.15895024470399444,
/Users/lachlants/Documents/GIFs/Website/original.gif,60,real,,dedup,1.0,0.97159878145962,1.0,0.8141829810607727,-0.028401218540380024,-0.1858170189392273,0.15741580039884728,
/Users/lachlants/Documents/GIFs/Email/http___i3.cmail20.com_ei_i_59_AE7_C49_csimport_TM35_readthis_MREClisten_now.163727.gif,60,real,,none,1.0,0.9534009109164588,1.0,0.7982603669138925,-0.046599089083541156,-0.20173963308610754,0.15514054400256638,
/tmp/giflab_divergence_synth/gradient_medium.gif,60,synthetic,gradient,none,1.0,0.8447000810457921,1.0,0.6902451141735539,-0.15529991895420792,-0.30975488582644606,0.15445496687223814,
/Users/lachlants/Documents/GIFs/Email/unnamed copy 10.gif,60,real,,none,1.0,0.8002921445743387,1.0,0.6467215199247958,-0.19970785542566127,-0.35327848007520424,0.15357062464954296,
/Users/lachlants/Documents/GIFs/Email/http___i3.cmail20.com_ei_i_59_AE7_C49_csimport_TM35_readthis_MREClisten_now.163727.gif,40,real,,none,1.0,0.9683698742149413,1.0,0.8176583356749645,-0.03163012578505875,-0.1823416643250355,0.15071153853997676,
/Users/lachlants/Documents/GIFs/Email/https___mcusercontent.com_f85fe69f37a041b9d3dcd09f9_images_66157541-b899-8e00-4315-ab5e9e8d1c7e.gif,40,real,,none,1.0,0.9727467894442752,1.0,0.8233584776596493,-0.027253210555724827,-0.1766415223403507,0.14938831178462586,
/Users/lachlants/Documents/GIFs/Email/unnamed copy 5.gif,40,real,,none,1.0,0.9263375292522906,1.0,0.7773112928287448,-0.07366247074770937,-0.22268870717125522,0.14902623642354584,
/Users/lachlants/Documents/GIFs/Email/unnamed copy 5.gif,60,real,,none,1.0,0.8707248373347638,1.0,0.7219211150459858,-0.1292751626652362,-0.2780788849540142,0.14880372228877803,
/tmp/giflab_divergence_synth/smooth_gradient.gif,40,synthetic,gradient,none,1.0,0.8882772907225969,1.0,0.740182623259634,-0.11172270927740313,-0.259817376740366,0.14809466746296285,
/Users/lachlants/Documents/GIFs/Email/https___i1.cmail20.com_ei_j_05_42F_D59_091032_csfinal_NoN25-Presale-Gif-Header-990000000004513c.gif,20,real,,none,1.0,0.915325022186558,1.0,0.7673052742550777,-0.08467497781344202,-0.23269472574492234,0.14801974793148032,
"/Users/lachlants/Documents/GIFs/Email/https___content.app-us1.com_cdn-cgi_image_width=650,dpr=2,fit=scale-down,format=auto,onerror=redirect_3rZo7_2024_03_07_c2452dba-b677-4b9b-9503-e5211590c454.gif",20,real,,none,1.0,0.9302120123499172,1.0,0.7843591625515687,-0.06978798765008276,-0.21564083744843132,0.14585284979834856,
/Users/lachlants/Documents/GIFs/Email/https___d3k81ch9hvuctc.cloudfront.net_company_U85BQH_images_82a45bf0-224d-4916-8fa9-1abc15aee5c3.gif,60,real,,none,1.0,0.9084795738058022,1.0,0.7630323620253977,-0.09152042619419776,-0.2369676379746023,0.14544721178040454,
"/Users/lachlants/Documents/GIFs/Email/https___content.app-us1.com_cdn-cgi_image_width=650,dpr=2,fit=scale-down,format=auto,onerror=redirect_3rZo7_2024_03_07_c2452dba-b677-4b9b-9503-e5211590c454.gif",40,real,,none,1.0,0.8567784266704028,1.0,0.711340803504802,-0.14322157332959717,-0.288659196495198,0.14543762316560083,
/Users/lachlants/Documents/GIFs/Email/https___d3k81ch9hvuctc.cloudfront.net_company_REkHnd_images_887551a8-b37f-4e22-b2d6-ef77c184782d.gif,60,real,,none,1.0,0.9091685701520278,1.0,0.7666468675518983,-0.09083142984797221,-0.23335313244810174,0.14252170260012953,
/Users/lachlants/Documents/GIFs/Email/https___media.wordfly.com_malthousetheatre_emails_lg-2024-comedy-fest-preshow-announce_mv01-4-venue24-micf2025-edmbanner-1920x1280-v3-1.gif,60,real,,none,1.0,0.9437542990890764,1.0,0.8013739608014991,-0.056245700910923624,-0.19862603919850086,0.14238033828757723,
/tmp/giflab_divergence_synth/gradient_small.gif,60,synthetic,gradient,none,1.0,0.91842656947138,1.0,0.7760944030374131,-0.08157343052861998,-0.22390559696258694,0.14233216643396696,
/Users/lachlants/Documents/GIFs/test gifs/https___mcusercontent.com_0682bb2f1d62db2dad6a2ed4b_images_da8e365e-0401-ebab-3906-953a6fb158c3.gif,60,real,,dedup,1.0,0.8803493382428882,1.0,0.7381335296428605,-0.11965066175711181,-0.2618664703571395,0.1422158086000277,
/Users/lachlants/Documents/GIFs/Email/https___mcusercontent.com_5a6eda7241a0bb8bb0a2ab3bc_images_b9ccabf0-a812-57df-5a67-02a4380a2e93.gif,40,real,,none,1.0,0.8403876947684094,1.0,0.6985641093772491,-0.15961230523159065,-0.3014358906227509,0.14182358539116025,
/Users/lachlants/Documents/GIFs/Website/clickup.gif,20,real,,none,1.0,0.9405488513624082,1.0,0.7987516792122704,-0.05945114863759182,-0.20124832078772958,0.14179717215013776,
/Users/lachlants/Documents/GIFs/Email/https___images.vialoops.com_cmm3upxu001xd0ixmruu1cz0n_cmm3xclqe01mm0izl7g78x3kq.gif,40,real,,none,1.0,0.9009642515360752,1.0,0.7595562260990535,-0.09903574846392482,-0.2404437739009465,0.1414080254370217,
/Users/lachlants/Documents/GIFs/Email/https___d3k81ch9hvuctc.cloudfront.net_company_X9u8pE_images_2b21621c-9be2-452a-afe8-6f635f8b835c.gif,60,real,,none,1.0,0.8916070869919611,1.0,0.7508126478439326,-0.10839291300803888,-0.24918735215606735,0.14079443914802847,
/Users/lachlants/Documents/GIFs/Website/clickup.gif,40,real,,none,1.0,0.8787637490568276,1.0,0.7380810021275255,-0.12123625094317236,-0.2619189978724745,0.14068274692930216,
/tmp/giflab_divergence_synth/smooth_gradient.gif,60,synthetic,gradient,none,1.0,0.8500257187696023,1.0,0.7107459724233723,-0.1499742812303977,-0.28925402757662766,0.13927974634622997,
/Users/lachlants/Documents/GIFs/test gifs/https___mcusercontent.com_0682bb2f1d62db2dad6a2ed4b_images_da8e365e-0401-ebab-3906-953a6fb158c3.gif,40,real,,dedup,1.0,0.9154951934499608,1.0,0.7767964870673788,-0.08450480655003922,-0.2232035129326212,0.13869870638258197,
/Users/lachlants/Documents/GIFs/Email/https___d3k81ch9hvuctc.cloudfront.net_company_V8V4pz_images_c61edd74-85bd-4618-8b45-49a9be372a05.gif,20,real,,none,1.0,0.9415510395514394,1.0,0.8034722378649904,-0.05844896044856063,-0.19652776213500955,0.13807880168644893,
/Users/lachlants/Documents/GIFs/Email/https___d3k81ch9hvuctc.cloudfront.net_company_REkHnd_images_887551a8-b37f-4e22-b2d6-ef77c184782d.gif,40,real,,none,1.0,0.9317780932584624,1.0,0.7943373351051799,-0.06822190674153761,-0.2056626648948201,0.1374407581532825,
/tmp/giflab_divergence_synth/minimal_frames.gif,60,synthetic,gradient,none,1.0,0.8492623397702989,1.0,0.7121869429817446,-0.15073766022970114,-0.28781305701825544,0.1370753967885543,
/Users/lachlants/Documents/GIFs/Website/original.gif,40,real,,dedup,1.0,0.983109522710105,1.0,0.8461163453790856,-0.016890477289895012,-0.15388365462091436,0.13699317733101934,
/Users/lachlants/Documents/GIFs/Email/https___d3k81ch9hvuctc.cloudfront.net_company_U85BQH_images_82a45bf0-224d-4916-8fa9-1abc15aee5c3.gif,40,real,,none,1.0,0.9335430594917656,1.0,0.7966976762534572,-0.06645694050823436,-0.20330232374654278,0.13684538323830842,
/Users/lachlants/Documents/GIFs/Email/https___mcusercontent.com_5a6eda7241a0bb8bb0a2ab3bc_images_b9ccabf0-a812-57df-5a67-02a4380a2e93.gif,20,real,,none,1.0,0.922307975746404,1.0,0.7856101117694876,-0.077692024253596,-0.21438988823051242,0.1366978639769164,
/Users/lachlants/Documents/GIFs/Website/clickup.gif,60,real,,none,1.0,0.838271335879251,1.0,0.7020891013913793,-0.16172866412074904,-0.29791089860862074,0.1361822344878717,
/Users/lachlants/Documents/GIFs/Email/https___mcusercontent.com_cdfc29de68ae93588ec6b0a8f_images_e926f7a2-b679-1f8b-c3ba-612a32744fd5.gif,60,real,,none,1.0,0.7596656184191358,1.0,0.6236700968014837,-0.24033438158086418,-0.37632990319851634,0.13599552161765216,
/Users/lachlants/Documents/GIFs/Email/http___i3.cmail20.com_ei_i_59_AE7_C49_csimport_TM35_readthis_MREClisten_now.163727.gif,20,real,,none,1.0,0.9796678856173726,1.0,0.8440060618422206,-0.020332114382627386,-0.1559939381577794,0.135661823775152,
/Users/lachlants/Documents/GIFs/Email/https___mcusercontent.com_5a6eda7241a0bb8bb0a2ab3bc_images_24898123-98b5-b476-dc87-6dc29bfc2782.gif,20,real,,none,1.0,0.941908886843654,1.0,0.8064511856323139,-0.058091113156345964,-0.19354881436768612,0.13545770121134015,
/Users/lachlants/Documents/GIFs/Email/https___mcusercontent.com_1baa1f1b305949ec908c25dd4_images_e7242d77-9e24-bea2-d2cb-b2fe7f8f37fe.gif,20,real,,none,1.0,0.9477306957581744,1.0,0.8132183547298462,-0.05226930424182563,-0.18678164527015384,0.1345123410283282,
/Users/lachlants/Documents/GIFs/Email/http___i4.cmail20.com_ei_i_81_4E5_54B_csimport_MRECanimated1300x250px1.161055.gif,60,real,,none,1.0,0.9089921927723827,1.0,0.7748871373657694,-0.09100780722761725,-0.22511286263423058,0.13410505540661333,
/Users/lachlants/Documents/GIFs/Email/http___i4.cmail20.com_ei_i_81_4E5_54B_csimport_MRECanimated1300x250px1.161055.gif,40,real,,none,1.0,0.947881210081757,1.0,0.8148298663098883,-0.052118789918243036,-0.1851701336901117,0.13305134377186867,
/Users/lachlants/Documents/GIFs/Email/https___i1.cmail20.com_ei_j_05_42F_D59_091032_csfinal_NoN25-Presale-Gif-Header-990000000004513c.gif,40,real,,none,1.0,0.8121029285632541,1.0,0.6795451511902907,-0.18789707143674594,-0.3204548488097093,0.13255777737296337,
"/Users/lachlants/Documents/GIFs/Email/https___content.app-us1.com_cdn-cgi_image_width=650,dpr=2,fit=scale-down,format=auto,onerror=redirect_3rZo7_2024_03_07_c2452dba-b677-4b9b-9503-e5211590c454.gif",60,real,,none,1.0,0.7974482138652242,1.0,0.6654727456814387,-0.20255178613477576,-0.33452725431856134,0.13197546818378558,
/Users/lachlants/Documents/GIFs/Email/https___mcusercontent.com_5a6eda7241a0bb8bb0a2ab3bc_images_6cfaefe2-9879-4af9-cc79-02b4ac8dd097.gif,60,real,,none,1.0,0.9527020138655036,1.0,0.8211781353987411,-0.04729798613449643,-0.17882186460125893,0.1315238784667625,
/Users/lachlants/Documents/GIFs/Email/https___media.wordfly.com_malthousetheatre_emails_lg-2024-comedy-fest-preshow-announce_mv01-4-venue24-micf2025-edmbanner-1920x1280-v3-1.gif,40,real,,none,1.0,0.9665899105226308,1.0,0.835464396837236,-0.03341008947736923,-0.16453560316276405,0.13112551368539482,
/tmp/giflab_divergence_synth/single_pixel_anim.gif,60,synthetic,micro_detail,none,1.0,0.9977623848797862,1.0,0.8666640235474313,-0.0022376151202138095,-0.13333597645256867,0.13109836133235486,verdict
/Users/lachlants/Documents/GIFs/Email/https___mcusercontent.com_5a6eda7241a0bb8bb0a2ab3bc_images_24898123-98b5-b476-dc87-6dc29bfc2782.gif,40,real,,none,1.0,0.8440998665507823,1.0,0.7132130866150646,-0.15590013344921771,-0.28678691338493545,0.13088677993571773,
/Users/lachlants/Documents/GIFs/Email/https___mcusercontent.com_5a6eda7241a0bb8bb0a2ab3bc_images_b9ccabf0-a812-57df-5a67-02a4380a2e93.gif,60,real,,none,1.0,0.7683654387138058,1.0,0.6375736392945025,-0.2316345612861942,-0.3624263607054975,0.1307917994193033,
/Users/lachlants/Documents/GIFs/Website/original.gif,20,real,,dedup,1.0,0.9818551132361308,1.0,0.8526120118404009,-0.01814488676386916,-0.14738798815959908,0.12924310139572992,
/Users/lachlants/Documents/GIFs/Email/https___images.vialoops.com_cmm3upxu001xd0ixmruu1cz0n_cmm3xclqe01mm0izl7g78x3kq.gif,60,real,,none,1.0,0.8221306036497197,1.0,0.6930518869356451,-0.17786939635028032,-0.3069481130643549,0.12907871671407456,
/Users/lachlants/Documents/GIFs/Email/https___mcusercontent.com_88adb327dcabde30998542a7d_images_8e172835-7e1d-a4d9-0445-244425430cd5.gif,60,real,,none,1.0,0.9364909000221058,1.0,0.8074973664485849,-0.06350909997789422,-0.19250263355141506,0.12899353357352084,
/Users/lachlants/Documents/GIFs/Email/https___i1.cmail19.com_ei_i_CB_C4C_5B2_csimport_240932_SugimotoThePostDigitalAds_V01_970x25.163742.gif,60,real,,none,1.0,0.966060242028336,1.0,0.8375943978069834,-0.03393975797166404,-0.16240560219301658,0.12846584422135254,
/Users/lachlants/Documents/GIFs/Email/https___d3k81ch9hvuctc.cloudfront.net_company_X9u8pE_images_2b21621c-9be2-452a-afe8-6f635f8b835c.gif,40,real,,none,1.0,0.9251438077041582,1.0,0.7974873376117199,-0.07485619229584184,-0.20251266238828014,0.1276564700924383,
"/Users/lachlants/Documents/GIFs/Email/https___content.app-us1.com_cdn-cgi_image_format=auto,onerror=redirect,width=650,dpr=2,fit=scale-down_3rZo7_2024_06_11_7aa17b6e-87da-4d40-8a29-94d4985416b4.gif",60,real,,none,1.0,0.842133955643196,1.0,0.7155029093305123,-0.15786604435680396,-0.2844970906694877,0.12663104631268374,
/Users/lachlants/Documents/GIFs/Email/https___i4.cmail20.com_ei_i_75_24D_4B5_csimport_300-x-2501.154633.gif,60,real,,none,1.0,0.9728330872366928,1.0,0.8471970337936453,-0.027166912763307183,-0.1528029662063547,0.1256360534430475,
/Users/lachlants/Documents/GIFs/Email/https___userimg-assets.customeriomail.com_images_client-env-162930_1774449091657_iOS_swipeback_01KMJPGS3S8VDHCC0YQAKKC05V.gif,20,real,,none,1.0,0.9453601205217016,1.0,0.8207844896054781,-0.0546398794782984,-0.17921551039452188,0.12457563091622348,
/Users/lachlants/Documents/GIFs/Email/https___d3k81ch9hvuctc.cloudfront.net_company_X9u8pE_images_2b21621c-9be2-452a-afe8-6f635f8b835c.gif,20,real,,none,1.0,0.9653253546671584,1.0,0.8411248445202328,-0.03467464533284159,-0.15887515547976716,0.12420051014692557,
/Users/lachlants/Documents/GIFs/Email/Superhuman 81246536.gif,60,real,,dedup,1.0,0.8326360943714465,1.0,0.7086484694931084,-0.16736390562855352,-0.29135153050689155,0.12398762487833803,
/Users/lachlants/Documents/GIFs/Email/https___mcusercontent.com_5a6eda7241a0bb8bb0a2ab3bc_images_bcf6754a-d612-66f9-54bc-9135af99be66.gif,20,real,,none,1.0,0.9307420324745114,1.0,0.8075021641698125,-0.06925796752548863,-0.19249783583018754,0.12323986830469891,
/Users/lachlants/Documents/GIFs/Email/https___mcusercontent.com_9284751802d775d29b8491886_images_99ac6bb0-5087-c5c1-c9b0-3d27c332ad28.gif,20,real,,none,1.0,0.9909892970004102,1.0,0.8679755726669035,-0.009010702999589837,-0.1320244273330965,0.12301372433350666,
/Users/lachlants/Documents/GIFs/Email/innernorth.gif,20,real,,none,1.0,0.9441414648753296,1.0,0.8212148461150823,-0.05585853512467043,-0.17878515388491767,0.12292661876024724,
/Users/lachlants/Documents/GIFs/Email/https___userimg-assets.customeriomail.com_images_client-env-99697_1705103848622_ai-announcement_01HM01QX7KJD0387CRABAHPXTV.gif,40,real,,dedup,1.0,0.9521528568554826,1.0,0.8293595059595799,-0.047847143144517434,-0.17064049404042014,0.12279335089590271,
/Users/lachlants/Documents/GIFs/Website/681b910e58e074aff61bfc44_68747470733a2f2f75736572696d672d6173736574732e637573746f6d6572696f6d61696c2e636f6d2f696d616765732f636c69656e742d656e762d39393639372f313734343231393633353339325f74696d65626f78696e67253230332e302532306769665f31395f303.gif,20,real,,none,1.0,0.9337121244424764,1.0,0.8111808680288342,-0.06628787555752358,-0.18881913197116584,0.12253125641364226,
/Users/lachlants/Documents/GIFs/Email/https___mcusercontent.com_5a6eda7241a0bb8bb0a2ab3bc_images_6cfaefe2-9879-4af9-cc79-02b4ac8dd097.gif,40,real,,none,1.0,0.9713853961077572,1.0,0.8494255985585001,-0.028614603892242796,-0.15057440144149992,0.12195979754925712,
/Users/lachlants/Documents/GIFs/Website/681b910e58e074aff61bfc44_68747470733a2f2f75736572696d672d6173736574732e637573746f6d6572696f6d61696c2e636f6d2f696d616765732f636c69656e742d656e762d39393639372f313734343231393633353339325f74696d65626f78696e67253230332e302532306769665f31395f303.gif,40,real,,none,1.0,0.8985022452125994,1.0,0.7766317191299125,-0.10149775478740064,-0.22336828087008753,0.12187052608268689,
/Users/lachlants/Documents/GIFs/Email/https___i1.cmail19.com_ei_i_CB_C4C_5B2_csimport_240932_SugimotoThePostDigitalAds_V01_970x25.163742.gif,40,real,,none,1.0,0.9755171991219824,1.0,0.8537873954928166,-0.024482800878017574,-0.14621260450718343,0.12172980362916586,
/Users/lachlants/Documents/GIFs/Email/https___mona-edms.s3.mona.net.au_Once+Upon+a+Time+in+Shaolin+EDM_Namedropping_WuTang_eDM_Announce_1.gif,40,real,,none,1.0,0.8854760413639081,1.0,0.7644776711804453,-0.11452395863609188,-0.2355223288195547,0.12099837018346282,
/Users/lachlants/Documents/GIFs/Email/https___mcusercontent.com_88adb327dcabde30998542a7d_images_8e172835-7e1d-a4d9-0445-244425430cd5.gif,40,real,,none,1.0,0.9567888254255236,1.0,0.8358479830341968,-0.04321117457447643,-0.16415201696580317,0.12094084239132674,
/tmp/giflab_divergence_synth/single_pixel_anim.gif,40,synthetic,micro_detail,none,1.0,0.9977626265348148,1.0,0.8770432885847357,-0.002237373465185155,-0.12295671141526432,0.12071933795007916,verdict
/Users/lachlants/Documents/GIFs/Website/681b910e58e074aff61bfc44_68747470733a2f2f75736572696d672d6173736574732e637573746f6d6572696f6d61696c2e636f6d2f696d616765732f636c69656e742d656e762d39393639372f313734343231393633353339325f74696d65626f78696e67253230332e302532306769665f31395f303.gif,60,real,,none,1.0,0.8651575109859012,1.0,0.7447429981800707,-0.1348424890140988,-0.2552570018199293,0.12041451280583049,
/Users/lachlants/Documents/GIFs/Email/https___images.vialoops.com_cmm3upxu001xd0ixmruu1cz0n_cmm3xclqe01mm0izl7g78x3kq.gif,20,real,,none,1.0,0.9736202378990512,1.0,0.8533874385436568,-0.026379762100948834,-0.14661256145634316,0.12023279935539433,
/tmp/giflab_divergence_synth/complex_gradient.gif,60,synthetic,complex_gradient,none,1.0,0.8839167384124167,1.0,0.764132862226559,-0.11608326158758331,-0.23586713777344104,0.11978387618585773,
/Users/lachlants/Documents/GIFs/Email/https___d3k81ch9hvuctc.cloudfront.net_company_VnK4p8_images_034b3b62-efa8-4bd6-bda5-8eba1501eaa7.gif,20,real,,none,1.0,0.9234793046883756,1.0,0.8037848650785665,-0.07652069531162442,-0.1962151349214335,0.11969443960980908,
/Users/lachlants/Documents/GIFs/Email/http___i4.cmail19.com_ei_i_C4_7A8_07B_csimport_SWF24_Digital_AnimatedProgrammatic_300x250_.160214.gif,40,real,,dedup,1.0,0.92878157188221,1.0,0.8106597959412445,-0.07121842811779,-0.1893402040587555,0.11812177594096551,
/Users/lachlants/Documents/GIFs/Email/https___d3k81ch9hvuctc.cloudfront.net_company_U85BQH_images_82a45bf0-224d-4916-8fa9-1abc15aee5c3.gif,20,real,,none,1.0,0.9710843171639628,1.0,0.8532329630731239,-0.028915682836037182,-0.1467670369268761,0.11785135409083891,
